"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates and edits a suite, then verifies the updated suite appears","8524","Edit a test suite","UI Suite","Sun Jul 20 16:01:45 GMT 2025","passed","Sun Jul 20 16:01:54 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkEditSuite"
"Creates and edits a suite, then verifies the updated suite appears","9180","Edit a test suite","UI Suite","Sun Jul 20 16:02:38 GMT 2025","passed","Sun Jul 20 16:02:48 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkEditSuite"
"Creates a suite named 'Smoke' and verifies it is created","3399","Create a test suite","UI Suite","Sun Jul 20 16:03:08 GMT 2025","passed","Sun Jul 20 16:03:12 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a defect is deleted successfully and returns 404 when accessed","1503","checkDeleteDefect","API Suite","Sun Jul 20 16:03:39 GMT 2025","passed","Sun Jul 20 16:03:41 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkDeleteDefect"
"Verify that all existing projects are returned","551","checkGetAllProjects","API Suite","Sun Jul 20 16:03:38 GMT 2025","passed","Sun Jul 20 16:03:38 GMT 2025","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkGetAllProjects"
"Creates a test case and verifies it exists on the project page","4655","Create test case","UI Suite","Sun Jul 20 16:01:35 GMT 2025","passed","Sun Jul 20 16:01:40 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateTestCase"
"Creates a suite named 'Smoke' and verifies it is created","3727","Create a test suite","UI Suite","Sun Jul 20 16:01:26 GMT 2025","passed","Sun Jul 20 16:01:30 GMT 2025","tests.ui.ProjectTest","UI Chrome Test","tests.ui.ProjectTest","checkCreateSuite"
"Verify that a specific defect can be retrieved by its ID","1007","checkGetDefect","API Suite","Sun Jul 20 16:03:43 GMT 2025","passed","Sun Jul 20 16:03:44 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetDefect"
"","708","checkGetSpecificMilestone","API Suite","Sun Jul 20 16:03:46 GMT 2025","passed","Sun Jul 20 16:03:47 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkGetSpecificMilestone"
"Creates and edits a suite, then verifies the updated suite appears","8973","Edit a test suite","UI Suite","Sun Jul 20 16:03:28 GMT 2025","passed","Sun Jul 20 16:03:37 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkEditSuite"
"Verify that a defect can be created and has a valid ID","638","checkCreateDefect","API Suite","Sun Jul 20 16:03:38 GMT 2025","passed","Sun Jul 20 16:03:39 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkCreateDefect"
"Verify that all defects for the project are returned correctly","1379","checkGetAllDefects","API Suite","Sun Jul 20 16:03:41 GMT 2025","passed","Sun Jul 20 16:03:42 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkGetAllDefects"
"","613","checkCreateMilestone","API Suite","Sun Jul 20 16:03:45 GMT 2025","passed","Sun Jul 20 16:03:46 GMT 2025","tests.api.MilestonesAPITest","Tests with Milistones","tests.api.MilestonesAPITest","checkCreateMilestone"
"Creates a suite named 'Smoke' and verifies it is created","4311","Create a test suite","UI Suite","Sun Jul 20 16:02:12 GMT 2025","passed","Sun Jul 20 16:02:16 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateSuite"
"Creates a test case and verifies it exists on the project page","5241","Create test case","UI Suite","Sun Jul 20 16:02:26 GMT 2025","passed","Sun Jul 20 16:02:31 GMT 2025","tests.ui.ProjectTest","UI Firefox Test","tests.ui.ProjectTest","checkCreateTestCase"
"Verify that a defect can be successfully updated","1165","checkUpdateDefect","API Suite","Sun Jul 20 16:03:44 GMT 2025","passed","Sun Jul 20 16:03:45 GMT 2025","tests.api.DefectAPITest","Tests with Defects","tests.api.DefectAPITest","checkUpdateDefect"
"Verify that a new project can be created","600","checkCreateProject","API Suite","Sun Jul 20 16:03:37 GMT 2025","passed","Sun Jul 20 16:03:38 GMT 2025","tests.api.ProjectAPITest","Tests with projects","tests.api.ProjectAPITest","checkCreateProject"
"Creates a test case and verifies it exists on the project page","4991","Create test case","UI Suite","Sun Jul 20 16:03:17 GMT 2025","passed","Sun Jul 20 16:03:22 GMT 2025","tests.ui.ProjectTest","UI Edge Test","tests.ui.ProjectTest","checkCreateTestCase"
